Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
CABA,Comuna 1,136.185,423,223.282,220.575,2.465,242
CABA,Comuna 2,109.754,145,158.368,157.055,1.276,37
CABA,Comuna 3,111.907,192,195.462,192.643,2.647,172
CABA,Comuna 4,101.524,65,230.945,229.023,1.852,70
CABA,Comuna 5,107.271,109,193.859,191.714,2.135,10
CABA,Comuna 6,108.006,65,203.784,202.488,1.254,42
CABA,Comuna 7,101.999,107,216.832,214.282,2.515,35
CABA,Comuna 8,71.280,15,204.842,204.653,186,3
CABA,Comuna 9,76.171,60,169.538,168.303,1.210,25
CABA,Comuna 10,84.382,55,171.797,170.497,1.282,18
CABA,Comuna 11,103.933,66,203.491,200.521,2.959,11
CABA,Comuna 12,121.272,80,236.294,234.752,1.524,18
CABA,Comuna 13,146.543,79,265.199,262.972,2.141,86
CABA,Comuna 14,153.721,411,249.016,247.447,1.486,83
CABA,Comuna 15,104.816,74,197.903,196.017,1.835,51
Buenos Aires,Almirante Brown,184.403,60,585.852,583.666,2.186,
Buenos Aires,Avellaneda,144.988,64,370.939,369.556,1.383,
Buenos Aires,Berazategui,117.699,37,360.582,360.178,404,
Buenos Aires,Esteban Echeverría,109.969,40,339.030,338.466,564,
Buenos Aires,Ezeiza,65.987,18,203.283,200.487,2.796,
Buenos Aires,Florencio Varela,145.546,26,497.818,489.577,8.241,
Buenos Aires,General San Martín,175.969,113,450.335,447.049,3.256,30
Buenos Aires,Hurlingham,66.033,19,187.122,186.721,401,
Buenos Aires,Ituzaingó,64.175,37,179.788,177.571,2.217,
Buenos Aires,José C. Paz,97.098,27,323.918,323.450,441,27
Buenos Aires,La Matanza,577.276,126,1.837.774,1.833.628,3.806,340
Buenos Aires,Lanús,179.531,71,462.051,460.578,1.440,33
Buenos Aires,Lomas de Zamora,235.524,13,694.330,691.339,2.907,84
Buenos Aires,Malvinas Argentinas,102.499,35,351.788,350.424,1.364,
Buenos Aires,Merlo,180.037,49,580.806,579.853,953,
Buenos Aires,Moreno,185.037,69,574.374,573.358,974,42
Buenos Aires,Morón,141.866,74,334.178,332.432,1.703,43
Buenos Aires,Quilmes,221.757,94,636.026,634.029,1.961,36
Buenos Aires,San Fernando,62.326,74,172.524,171.602,896,26
Buenos Aires,San Isidro,121.246,78,298.777,297.474,1.291,12
Buenos Aires,San Miguel,107.723,50,326.215,325.802,363,50
Buenos Aires,Tigre,152.750,54,447.785,443.932,3.853,
Buenos Aires,Tres de Febrero,149.029,67,366.377,364.601,1.740,36
Buenos Aires,Vicente López,126.139,88,283.510,281.735,1.737,38
Buenos Aires,Adolfo Alsina,8.799,29,17.666,17.460,206,
Buenos Aires,Adolfo Gonzales Chaves,5.936,11,12.954,12.885,69,
Buenos Aires,Alberti,5.950,10,12.726,12.650,76,
Buenos Aires,Arrecifes,12.715,15,32.405,32.229,176,
Buenos Aires,Ayacucho,9.748,18,22.136,21.881,255,
Buenos Aires,Azul,32.273,46,75.396,74.893,503,
Buenos Aires,Bahía Blanca,150.503,121,335.190,333.018,2.172,
Buenos Aires,Balcarce,20.663,28,51.736,51.266,470,
Buenos Aires,Baradero,15.219,33,38.526,37.921,605,
Buenos Aires,Benito Juárez,9.420,22,22.558,21.411,1.147,
Buenos Aires,Berisso,35.958,24,101.263,100.917,346,
Buenos Aires,Bolívar,17.702,41,38.119,36.900,1.219,
Buenos Aires,Bragado,20.240,27,44.972,44.643,329,
Buenos Aires,Brandsen,14.859,19,33.026,32.933,93,
Buenos Aires,Campana,40.926,31,110.726,108.115,2.611,
Buenos Aires,Cañuelas,27.418,13,71.149,70.978,171,
Buenos Aires,Capitán Sarmiento,6.332,10,15.906,15.823,83,
Buenos Aires,Carlos Casares,11.244,8,23.204,23.174,30,
Buenos Aires,Carlos Tejedor,5.461,8,13.148,13.072,76,
Buenos Aires,Carmen de Areco,7.173,11,17.386,17.232,154,
Buenos Aires,Castelli,4.093,7,10.517,10.473,44,
Buenos Aires,Chacabuco,24.604,22,53.157,52.837,320,
Buenos Aires,Chascomús,18.555,86,42.914,42.628,286,
Buenos Aires,Chivilcoy,32.044,28,70.765,70.437,328,
Buenos Aires,Colón,11.031,13,27.356,27.245,111,
Buenos Aires,Coronel de Marina Leonardo Rosales,28.106,74,70.407,66.103,4.304,
Buenos Aires,Coronel Dorrego,8.653,19,16.227,16.057,170,
Buenos Aires,Coronel Pringles,11.394,20,24.249,24.006,243,
Buenos Aires,Coronel Suárez,19.599,37,42.676,42.276,400,
Buenos Aires,Daireaux,7.566,16,19.149,19.066,83,
Buenos Aires,Dolores,13.772,9,31.606,31.002,604,
Buenos Aires,Ensenada,24.239,3,64.406,64.381,25,
Buenos Aires,Escobar,95.109,23,256.449,256.144,305,
Buenos Aires,Exaltación de la Cruz,17.501,31,39.347,39.193,154,
Buenos Aires,Florentino Ameghino,4.133,7,9.785,9.752,33,
Buenos Aires,General Alvarado,38.817,135,45.597,45.252,345,
Buenos Aires,General Alvear,4.529,9,12.941,10.221,2.720,
Buenos Aires,General Arenales,7.467,7,16.050,15.988,62,
Buenos Aires,General Belgrano,9.714,29,21.251,21.135,116,
Buenos Aires,General Guido,1.634,4,3.226,3.210,16,
Buenos Aires,General Juan Madariaga,9.348,4,23.019,22.983,36,
Buenos Aires,General La Madrid,5.313,11,11.666,11.580,86,
Buenos Aires,General Las Heras,6.853,13,17.572,17.496,76,
Buenos Aires,General Lavalle,1.961,10,4.949,4.906,43,
Buenos Aires,General Paz,6.836,6,14.230,14.164,66,
Buenos Aires,General Pinto,5.829,9,12.223,12.124,99,
Buenos Aires,General Pueyrredón,348.264,742,682.605,675.759,6.719,127
Buenos Aires,General Rodríguez,53.299,24,143.211,142.963,248,
Buenos Aires,General Viamonte,8.820,27,20.068,19.916,152,
Buenos Aires,General Villegas,14.829,37,33.679,33.470,209,
Buenos Aires,Guaminí,5.740,18,12.005,11.849,156,
Buenos Aires,Hipólito Yrigoyen,4.493,10,10.539,10.449,90,
Buenos Aires,Junín,44.243,58,101.762,98.903,2.859,
Buenos Aires,La Costa,128.491,357,102.836,102.512,324,
Buenos Aires,La Plata,328.904,215,772.618,763.047,9.534,37
Buenos Aires,Laprida,5.460,11,11.726,11.578,148,
Buenos Aires,Las Flores,12.032,13,26.651,26.551,100,
